code,topic,title,url
POL-17,"President, Vice-President, PM & Council of Ministers",Wikipedia: Prime Minister of India,https://en.wikipedia.org/wiki/Prime_Minister_of_India
POL-18,"Parliament — composition, sessions, devices, types of bills",Wikipedia: Parliament of India,https://en.wikipedia.org/wiki/Parliament_of_India
POL-19,Parliamentary & Cabinet Committees,Wikipedia: Parliamentary committees of India,https://en.wikipedia.org/wiki/Parliamentary_committees_of_India
POL-20,"Supreme Court, Judicial Review, Judicial Activism, PIL",Wikipedia: Judicial review in India,https://en.wikipedia.org/wiki/Judicial_review_in_India
POL-20,"Supreme Court, Judicial Review, Judicial Activism, PIL",Wikipedia: Supreme Court of India,https://en.wikipedia.org/wiki/Supreme_Court_of_India
POL-21,"Governor, Chief Minister, State Legislature & High Courts",Wikipedia: Governor (India),https://en.wikipedia.org/wiki/Governor_(India)
POL-21,"Governor, Chief Minister, State Legislature & High Courts",Wikipedia: High courts of India,https://en.wikipedia.org/wiki/High_courts_of_India
POL-22,Panchayati Raj & Municipalities (73rd & 74th Amendments),Wikipedia: Municipal governance in India,https://en.wikipedia.org/wiki/Municipal_governance_in_India
POL-22,Panchayati Raj & Municipalities (73rd & 74th Amendments),Wikipedia: Panchayati raj in India,https://en.wikipedia.org/wiki/Panchayati_raj_in_India
POL-23,"Union Territories, Scheduled & Tribal Areas (5th & 6th Schedules)",Wikipedia: Sixth Schedule to the Constitution of India,https://en.wikipedia.org/wiki/Sixth_Schedule_to_the_Constitution_of_India
POL-23,"Union Territories, Scheduled & Tribal Areas (5th & 6th Schedules)",Wikipedia: Union territory,https://en.wikipedia.org/wiki/Union_territory
POL-24,"Constitutional Bodies — EC, UPSC, CAG, AG, Finance Commission, NCSC/NCST",Wikipedia: Comptroller and Auditor General of India,https://en.wikipedia.org/wiki/Comptroller_and_Auditor_General_of_India
POL-24,"Constitutional Bodies — EC, UPSC, CAG, AG, Finance Commission, NCSC/NCST",Wikipedia: Election Commission of India,https://en.wikipedia.org/wiki/Election_Commission_of_India
POL-25,"Non-Constitutional Bodies — NITI Aayog, NHRC, CIC, CVC, CBI, Lokpal",Wikipedia: Lokpal,https://en.wikipedia.org/wiki/Lokpal
POL-25,"Non-Constitutional Bodies — NITI Aayog, NHRC, CIC, CVC, CBI, Lokpal",Wikipedia: NITI Aayog,https://en.wikipedia.org/wiki/NITI_Aayog
POL-26,"Elections, Political Parties, Anti-Defection & the RPA",Wikipedia: Anti-defection law (India),https://en.wikipedia.org/wiki/Anti-defection_law_(India)
POL-26,"Elections, Political Parties, Anti-Defection & the RPA","Wikipedia: Representation of the People Act, 1951","https://en.wikipedia.org/wiki/Representation_of_the_People_Act,_1951"
POL-27,"Governance — RTI, e-governance, citizen charters, civil services","Wikipedia: Right to Information Act, 2005","https://en.wikipedia.org/wiki/Right_to_Information_Act,_2005"
POL-28,"GS-4 vocabulary pass — accountability, probity, equity, esprit de corps",Wikipedia: Accountability,https://en.wikipedia.org/wiki/Accountability
POL-29,"Criminal justice and internal security — BNS/BNSS/BSA, police, prisons, CAPFs, security laws",Wikipedia: Bharatiya Nyaya Sanhita,https://en.wikipedia.org/wiki/Bharatiya_Nyaya_Sanhita
POL-29,"Criminal justice and internal security — BNS/BNSS/BSA, police, prisons, CAPFs, security laws",Wikipedia: Central Armed Police Forces,https://en.wikipedia.org/wiki/Central_Armed_Police_Forces
GEO-01,"Universe, Solar System, Earth's motions, latitude/longitude, time zones",Wikipedia: Solar System,https://en.wikipedia.org/wiki/Solar_System
GEO-02,Interior of the Earth; rocks and minerals; the rock cycle,Wikipedia: Internal structure of Earth,https://en.wikipedia.org/wiki/Internal_structure_of_Earth
GEO-02,Interior of the Earth; rocks and minerals; the rock cycle,Wikipedia: Rock cycle,https://en.wikipedia.org/wiki/Rock_cycle
GEO-03,"Plate tectonics, continental drift, earthquakes, volcanoes",Wikipedia: Plate tectonics,https://en.wikipedia.org/wiki/Plate_tectonics
GEO-04,"Geomorphic processes — weathering, erosion, mass movement",Wikipedia: Weathering,https://en.wikipedia.org/wiki/Weathering
GEO-05,"Landforms — fluvial, glacial, aeolian, karst, coastal",Wikipedia: Landform,https://en.wikipedia.org/wiki/Landform
GEO-06,"Atmosphere — composition, structure, insolation, heat budget",Wikipedia: Atmosphere of Earth,https://en.wikipedia.org/wiki/Atmosphere_of_Earth
GEO-07,"Temperature, pressure belts, winds, jet streams, Coriolis",Wikipedia: Atmospheric circulation,https://en.wikipedia.org/wiki/Atmospheric_circulation
GEO-08,"Humidity, clouds, precipitation; tropical & temperate cyclones",Wikipedia: Tropical cyclone,https://en.wikipedia.org/wiki/Tropical_cyclone
GEO-09,World climatic types (Koppen) and their characteristics,Wikipedia: Koppen climate classification,https://en.wikipedia.org/wiki/K%C3%B6ppen_climate_classification
GEO-10,"Oceans — relief, salinity, temperature, currents, tides, waves",Wikipedia: Ocean current,https://en.wikipedia.org/wiki/Ocean_current
GEO-11,World biomes and natural vegetation,Wikipedia: Biome,https://en.wikipedia.org/wiki/Biome
GEO-12,"India — physiography: Himalayas, plains, peninsula, coasts, islands",Wikipedia: Geography of India,https://en.wikipedia.org/wiki/Geography_of_India
GEO-13,India — drainage: Himalayan and Peninsular river systems,Wikipedia: List of major rivers of India,https://en.wikipedia.org/wiki/List_of_major_rivers_of_India
GEO-14,"India — climate: monsoon mechanism, seasons, rainfall distribution",Wikipedia: Climate of India,https://en.wikipedia.org/wiki/Climate_of_India
GEO-14,"India — climate: monsoon mechanism, seasons, rainfall distribution",Wikipedia: Monsoon of South Asia,https://en.wikipedia.org/wiki/Monsoon_of_South_Asia
GEO-15,India — soils and soil degradation,Wikipedia: Soil,https://en.wikipedia.org/wiki/Soil
GEO-15,India — soils and soil degradation,Wikipedia: Soil retrogression and degradation,https://en.wikipedia.org/wiki/Soil_retrogression_and_degradation
GEO-16,India — natural vegetation and forest types,Wikipedia: Forestry in India,https://en.wikipedia.org/wiki/Forestry_in_India
GEO-17,"India — agriculture: crops, cropping patterns, irrigation, green revolution",Wikipedia: Agriculture in India,https://en.wikipedia.org/wiki/Agriculture_in_India
GEO-18,India — mineral and energy resources,Wikipedia: Mining in India,https://en.wikipedia.org/wiki/Mining_in_India
GEO-19,India — industries and industrial regions,Wikipedia: Economy of India,https://en.wikipedia.org/wiki/Economy_of_India
GEO-20,"India — transport, communication and trade",Wikipedia: Transport in India,https://en.wikipedia.org/wiki/Transport_in_India
GEO-21,"Population — distribution, density, growth, migration, census",Wikipedia: Demographics of India,https://en.wikipedia.org/wiki/Demographics_of_India
GEO-22,Settlements and urbanisation,Wikipedia: Urbanisation in India,https://en.wikipedia.org/wiki/Urbanisation_in_India
GEO-23,"World economic geography — agriculture, industry, resource distribution",Wikipedia: Economic geography,https://en.wikipedia.org/wiki/Economic_geography
GEO-24,Map work — atlas drills and places in news,Survey of India: official site,https://www.surveyofindia.gov.in/
GEO-25,"India — water resources: availability, groundwater, water stress, conservation",Wikipedia: Irrigation in India,https://en.wikipedia.org/wiki/Irrigation_in_India
GEO-25,"India — water resources: availability, groundwater, water stress, conservation",Wikipedia: Water scarcity in India,https://en.wikipedia.org/wiki/Water_scarcity_in_India
HIS-01,"Advent of Europeans; British expansion — Bengal, Mysore, Marathas, Sikhs",Wikipedia: Company rule in India,https://en.wikipedia.org/wiki/Company_rule_in_India
HIS-02,"British economic policies, drain of wealth, land revenue systems",Wikipedia: Economy of India under the British Raj,https://en.wikipedia.org/wiki/Economy_of_India_under_the_British_Raj
HIS-03,Administrative and constitutional developments 1773–1858,Wikipedia: Regulating Act of 1773,https://en.wikipedia.org/wiki/Regulating_Act_of_1773
HIS-04,The Revolt of 1857,Wikipedia: Indian Rebellion of 1857,https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857
HIS-05,Socio-religious reform movements,Wikipedia: Hindu reform movements,https://en.wikipedia.org/wiki/Hindu_reform_movements
HIS-06,Growth of nationalism; founding of the INC; the Moderate phase,Wikipedia: Indian National Congress,https://en.wikipedia.org/wiki/Indian_National_Congress
HIS-07,"Extremists, Partition of Bengal, Swadeshi, the Surat Split",Wikipedia: Swadeshi movement,https://en.wikipedia.org/wiki/Swadeshi_movement
HIS-08,Revolutionary movements — both phases,Wikipedia: Revolutionary movement for Indian independence,https://en.wikipedia.org/wiki/Revolutionary_movement_for_Indian_independence
HIS-09,"Constitutional developments — Morley-Minto 1909, Montagu-Chelmsford 1919",Wikipedia: Indian Councils Act 1909,https://en.wikipedia.org/wiki/Indian_Councils_Act_1909
HIS-10,"Gandhian era I — Champaran, Kheda, Rowlatt, Jallianwala, Khilafat, NCM",Wikipedia: Non-cooperation movement (1919-1922),https://en.wikipedia.org/wiki/Non-cooperation_movement_(1919%E2%80%931922)
HIS-11,"Swarajists, Simon Commission, Nehru Report, Civil Disobedience, Round Tables",Wikipedia: Salt March,https://en.wikipedia.org/wiki/Salt_March
HIS-12,"Communalism, Poona Pact, GoI Act 1935, provincial elections",Wikipedia: Government of India Act 1935,https://en.wikipedia.org/wiki/Government_of_India_Act_1935
HIS-13,"Quit India, INA, Cripps, Wavell Plan, Cabinet Mission",Wikipedia: Quit India Movement,https://en.wikipedia.org/wiki/Quit_India_Movement
HIS-14,Independence and Partition; the Mountbatten Plan,Wikipedia: Partition of India,https://en.wikipedia.org/wiki/Partition_of_India
HIS-15,"Peasant, tribal, labour and women's movements",Wikipedia: All India Kisan Sabha,https://en.wikipedia.org/wiki/All_India_Kisan_Sabha
HIS-16,"Press, education, personalities and INC sessions",Wikipedia: List of INC presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_the_Indian_National_Congress
ANM-01,Prehistory and the Indus Valley Civilisation,Wikipedia: Indus Valley Civilisation,https://en.wikipedia.org/wiki/Indus_Valley_Civilisation
ANM-02,The Vedic Age — Early and Later,Wikipedia: Vedic period,https://en.wikipedia.org/wiki/Vedic_period
ANM-03,"Mahajanapadas, rise of Magadha, Persian and Greek invasions",Wikipedia: Mahajanapadas,https://en.wikipedia.org/wiki/Mahajanapadas
ANM-04,"Buddhism, Jainism and the heterodox sects",Wikipedia: History of Buddhism in India,https://en.wikipedia.org/wiki/History_of_Buddhism_in_India
ANM-04,"Buddhism, Jainism and the heterodox sects",Wikipedia: Jainism,https://en.wikipedia.org/wiki/Jainism
ANM-05,"The Mauryan Empire — Ashoka, administration, edicts",Wikipedia: Ashoka,https://en.wikipedia.org/wiki/Ashoka
ANM-05,"The Mauryan Empire — Ashoka, administration, edicts",Wikipedia: Maurya Empire,https://en.wikipedia.org/wiki/Maurya_Empire
ANM-06,"Post-Mauryan — Sungas, Indo-Greeks, Kushanas, Satavahanas",Wikipedia: Kushan Empire,https://en.wikipedia.org/wiki/Kushan_Empire
ANM-06,"Post-Mauryan — Sungas, Indo-Greeks, Kushanas, Satavahanas",Wikipedia: Satavahana dynasty,https://en.wikipedia.org/wiki/Satavahana_dynasty
ANM-07,The Sangam Age and early Tamilakam,Wikipedia: Sangam period,https://en.wikipedia.org/wiki/Sangam_period
ANM-08,"Gupta and post-Gupta — Harsha, Pallavas, Chalukyas",Wikipedia: Gupta Empire,https://en.wikipedia.org/wiki/Gupta_Empire
ANM-08,"Gupta and post-Gupta — Harsha, Pallavas, Chalukyas",Wikipedia: Harsha,https://en.wikipedia.org/wiki/Harsha
ANM-09,Cholas and the South Indian dynasties,Wikipedia: Chola dynasty,https://en.wikipedia.org/wiki/Chola_dynasty
ANM-10,"Early medieval — Rajputs, Arab invasions, Ghaznavids and Ghurids",Wikipedia: Ghaznavids,https://en.wikipedia.org/wiki/Ghaznavids
ANM-10,"Early medieval — Rajputs, Arab invasions, Ghaznavids and Ghurids",Wikipedia: Rajput,https://en.wikipedia.org/wiki/Rajput
ANM-11,"The Delhi Sultanate — dynasties, administration, economy",Wikipedia: Delhi Sultanate,https://en.wikipedia.org/wiki/Delhi_Sultanate
ANM-12,"Vijayanagara, Bahmani and the regional kingdoms",Wikipedia: Bahmani Sultanate,https://en.wikipedia.org/wiki/Bahmani_Sultanate
ANM-12,"Vijayanagara, Bahmani and the regional kingdoms",Wikipedia: Vijayanagara Empire,https://en.wikipedia.org/wiki/Vijayanagara_Empire
ANM-13,The Bhakti and Sufi movements,Wikipedia: Bhakti movement,https://en.wikipedia.org/wiki/Bhakti_movement
ANM-13,The Bhakti and Sufi movements,Wikipedia: Sufism in India,https://en.wikipedia.org/wiki/Sufism_in_India
ANM-14,"The Mughal Empire — rulers, administration, decline; the Marathas",Wikipedia: Maratha Empire,https://en.wikipedia.org/wiki/Maratha_Empire
ANM-14,"The Mughal Empire — rulers, administration, decline; the Marathas",Wikipedia: Mughal Empire,https://en.wikipedia.org/wiki/Mughal_Empire
ANM-15,"Sources, texts and the scientific legacy of ancient India",Wikipedia: Science & tech in the Indian subcontinent,https://en.wikipedia.org/wiki/History_of_science_and_technology_in_the_Indian_subcontinent
ART-01,"Indus and early architecture; stupas, chaityas, viharas",Wikipedia: Stupa,https://en.wikipedia.org/wiki/Stupa
ART-02,"Temple architecture — Nagara, Dravida, Vesara",Wikipedia: Hindu temple architecture,https://en.wikipedia.org/wiki/Hindu_temple_architecture
ART-03,"Cave architecture — Ajanta, Ellora, Bagh, Elephanta",Wikipedia: Indian rock-cut architecture,https://en.wikipedia.org/wiki/Indian_rock-cut_architecture
ART-04,Indo-Islamic and colonial architecture,Wikipedia: Indo-Islamic architecture,https://en.wikipedia.org/wiki/Indo-Islamic_architecture
ART-05,"Sculpture schools — Gandhara, Mathura, Amaravati",Wikipedia: Gandhara art,https://en.wikipedia.org/wiki/Gandhara_art
ART-06,"Painting — murals, Mughal, Rajput, Pahari, folk traditions",Wikipedia: Indian painting,https://en.wikipedia.org/wiki/Indian_painting
ART-07,Classical and folk dance forms,Wikipedia: Indian classical dance,https://en.wikipedia.org/wiki/Indian_classical_dance
ART-08,"Music — Hindustani, Carnatic, gharanas, instruments",Wikipedia: Music of India,https://en.wikipedia.org/wiki/Music_of_India
ART-09,"Theatre, puppetry, martial arts, fairs and festivals",Wikipedia: Theatre of India,https://en.wikipedia.org/wiki/Theatre_of_India
ART-10,"Literature, languages, philosophy; UNESCO heritage and GI tags",Wikipedia: Geographical indications in India,https://en.wikipedia.org/wiki/Geographical_indications_in_India
ART-10,"Literature, languages, philosophy; UNESCO heritage and GI tags",Wikipedia: World Heritage Sites in India,https://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_India
ECO-01,"Basic concepts — GDP, GNP, NNP, deflator, base year, sectors",Wikipedia: Gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
ECO-02,"Money and banking — evolution, money supply, money multiplier",Wikipedia: Money supply,https://en.wikipedia.org/wiki/Money_supply
ECO-03,"RBI and monetary policy — CRR, SLR, repo, MPC, LAF",Wikipedia: Monetary Policy Committee (India),https://en.wikipedia.org/wiki/Monetary_Policy_Committee_(India)
ECO-04,"Banking structure — PSBs, private, RRBs, cooperatives, SFBs, payment banks",Wikipedia: Banking in India,https://en.wikipedia.org/wiki/Banking_in_India
ECO-05,"NPAs, Basel norms, IBC and banking reforms",Wikipedia: Basel Accords,https://en.wikipedia.org/wiki/Basel_Accords
ECO-05,"NPAs, Basel norms, IBC and banking reforms","Wikipedia: Insolvency and Bankruptcy Code, 2016","https://en.wikipedia.org/wiki/Insolvency_and_Bankruptcy_Code,_2016"
ECO-06,"NBFCs, microfinance and financial inclusion",Wikipedia: Financial inclusion,https://en.wikipedia.org/wiki/Financial_inclusion
ECO-06,"NBFCs, microfinance and financial inclusion",Wikipedia: Non-bank financial institution,https://en.wikipedia.org/wiki/Non-bank_financial_institution
ECO-07,"Financial markets — SEBI, primary and secondary markets",Wikipedia: Securities and Exchange Board of India,https://en.wikipedia.org/wiki/Securities_and_Exchange_Board_of_India
ECO-08,"Bonds, G-Secs, derivatives, mutual funds, AIFs, InvITs and REITs",Wikipedia: Government bond,https://en.wikipedia.org/wiki/Government_bond
ECO-09,"Inflation — types, CPI and WPI, effects and control",Wikipedia: Inflation,https://en.wikipedia.org/wiki/Inflation
ECO-10,"Budget — components, deficits, FRBM, fiscal policy",Wikipedia: Union budget of India,https://en.wikipedia.org/wiki/Union_budget_of_India
ECO-11,"Taxation — direct, indirect, GST, Finance Commission",Wikipedia: Goods and Services Tax (India),https://en.wikipedia.org/wiki/Goods_and_Services_Tax_(India)
ECO-12,"External sector — BoP, exchange rate, FDI and FPI, forex reserves",Wikipedia: Balance of payments,https://en.wikipedia.org/wiki/Balance_of_payments
ECO-13,"International institutions — IMF, World Bank, WTO, ADB, NDB",Wikipedia: International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
ECO-13,"International institutions — IMF, World Bank, WTO, ADB, NDB",Wikipedia: World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
ECO-14,"Agriculture — MSP, PDS, subsidies, APMC, agri-credit",Wikipedia: Minimum support price,https://en.wikipedia.org/wiki/Minimum_support_price
ECO-15,"Industry — MSME, industrial policy, PLI, Make in India, IPR",Wikipedia: Make in India,https://en.wikipedia.org/wiki/Make_in_India
ECO-16,"Services, infrastructure, PPP, energy and logistics",Wikipedia: Public–private partnership,https://en.wikipedia.org/wiki/Public%E2%80%93private_partnership
ECO-17,"Poverty, unemployment and inequality — measurement and schemes",Wikipedia: Poverty in India,https://en.wikipedia.org/wiki/Poverty_in_India
ECO-18,"Human development — HDI, MPI, education and health indicators",Wikipedia: Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
ECO-19,"Planning, NITI Aayog, Economic Survey and Budget highlights",Wikipedia: Economic Survey of India,https://en.wikipedia.org/wiki/Economic_Survey_of_India
ECO-19,"Planning, NITI Aayog, Economic Survey and Budget highlights",Wikipedia: NITI Aayog,https://en.wikipedia.org/wiki/NITI_Aayog
ECO-20,"New economy — UPI, ONDC, CBDC, tokenization, gig economy",Wikipedia: Central bank digital currency,https://en.wikipedia.org/wiki/Central_bank_digital_currency
ECO-20,"New economy — UPI, ONDC, CBDC, tokenization, gig economy",Wikipedia: Unified Payments Interface,https://en.wikipedia.org/wiki/Unified_Payments_Interface
ENV-01,"Ecology basics — ecosystem, food chains and webs, energy flow, pyramids",Wikipedia: Ecosystem,https://en.wikipedia.org/wiki/Ecosystem
ENV-02,Biogeochemical cycles and ecological succession,Wikipedia: Biogeochemical cycle,https://en.wikipedia.org/wiki/Biogeochemical_cycle
ENV-02,Biogeochemical cycles and ecological succession,Wikipedia: Ecological succession,https://en.wikipedia.org/wiki/Ecological_succession
ENV-03,"Terrestrial ecosystems — forests, grasslands, deserts",Wikipedia: Terrestrial ecosystem,https://en.wikipedia.org/wiki/Terrestrial_ecosystem
ENV-04,"Aquatic ecosystems — wetlands, mangroves, coral reefs, estuaries",Wikipedia: Aquatic ecosystem,https://en.wikipedia.org/wiki/Aquatic_ecosystem
ENV-04,"Aquatic ecosystems — wetlands, mangroves, coral reefs, estuaries",Wikipedia: Coral reef,https://en.wikipedia.org/wiki/Coral_reef
ENV-05,"Biodiversity — levels, hotspots, the IUCN Red List",Wikipedia: Biodiversity hotspot,https://en.wikipedia.org/wiki/Biodiversity_hotspot
ENV-05,"Biodiversity — levels, hotspots, the IUCN Red List",Wikipedia: IUCN Red List,https://en.wikipedia.org/wiki/IUCN_Red_List
ENV-06,"Protected areas — national parks, sanctuaries, biosphere and community reserves",Wikipedia: Protected areas of India,https://en.wikipedia.org/wiki/Protected_areas_of_India
ENV-07,Indian flora and fauna; endemic and flagship species,Wikipedia: Wildlife of India,https://en.wikipedia.org/wiki/Wildlife_of_India
ENV-08,"Conservation projects — Tiger, Elephant, Rhino, Cheetah, Gangetic Dolphin",Wikipedia: Project Tiger,https://en.wikipedia.org/wiki/Project_Tiger
ENV-09,"Environmental laws — WPA 1972, FCA, EPA, Biodiversity Act, FRA","Wikipedia: Wildlife Protection Act, 1972","https://en.wikipedia.org/wiki/Wildlife_Protection_Act,_1972"
ENV-10,"Institutions — NGT, CPCB, NBA, ZSI, BSI, WII",Wikipedia: Central Pollution Control Board,https://en.wikipedia.org/wiki/Central_Pollution_Control_Board
ENV-10,"Institutions — NGT, CPCB, NBA, ZSI, BSI, WII",Wikipedia: National Green Tribunal,https://en.wikipedia.org/wiki/National_Green_Tribunal
ENV-11,"Pollution — air, water, soil, noise, e-waste, plastics and standards",Wikipedia: Pollution in India,https://en.wikipedia.org/wiki/Pollution_in_India
ENV-12,"Climate change science — GHGs, radiative forcing, feedbacks",Wikipedia: Climate change,https://en.wikipedia.org/wiki/Climate_change
ENV-13,"Climate governance — UNFCCC, Kyoto, Paris, COPs, NDCs, carbon markets",Wikipedia: Paris Agreement,https://en.wikipedia.org/wiki/Paris_Agreement
ENV-13,"Climate governance — UNFCCC, Kyoto, Paris, COPs, NDCs, carbon markets",Wikipedia: UNFCCC,https://en.wikipedia.org/wiki/United_Nations_Framework_Convention_on_Climate_Change
ENV-14,"Conventions — CBD, CITES, Ramsar, CMS, Basel, Montreal, Stockholm",Wikipedia: CITES,https://en.wikipedia.org/wiki/CITES
ENV-14,"Conventions — CBD, CITES, Ramsar, CMS, Basel, Montreal, Stockholm",Wikipedia: Convention on Biological Diversity,https://en.wikipedia.org/wiki/Convention_on_Biological_Diversity
ENV-15,"Sustainable development — SDGs, circular economy, EIA, green finance",Wikipedia: Environmental impact assessment,https://en.wikipedia.org/wiki/Environmental_impact_assessment
ENV-15,"Sustainable development — SDGs, circular economy, EIA, green finance",Wikipedia: Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
ENV-16,"Renewable energy, green hydrogen, biofuels and national missions",Wikipedia: Renewable energy in India,https://en.wikipedia.org/wiki/Renewable_energy_in_India
SNT-01,"Basic biology — cell, genetics, human systems, nutrition",Wikipedia: Cell biology,https://en.wikipedia.org/wiki/Cell_biology
SNT-01,"Basic biology — cell, genetics, human systems, nutrition",Wikipedia: Human body,https://en.wikipedia.org/wiki/Human_body
SNT-02,"Diseases, immunity, vaccines, antibiotics and AMR",Wikipedia: Antimicrobial resistance,https://en.wikipedia.org/wiki/Antimicrobial_resistance
SNT-02,"Diseases, immunity, vaccines, antibiotics and AMR",Wikipedia: Vaccine,https://en.wikipedia.org/wiki/Vaccine
SNT-03,"Biotechnology — GM crops, gene editing, stem cells, genetic medicine",Wikipedia: CRISPR gene editing,https://en.wikipedia.org/wiki/CRISPR_gene_editing
SNT-03,"Biotechnology — GM crops, gene editing, stem cells, genetic medicine",Wikipedia: Genetically modified crops,https://en.wikipedia.org/wiki/Genetically_modified_crops
SNT-04,"Health missions, drug regulation and public health technology",Wikipedia: Ayushman Bharat Yojana,https://en.wikipedia.org/wiki/Ayushman_Bharat_Yojana
SNT-05,"Space — ISRO missions, launch vehicles, NavIC, private space sector",ISRO: Official website,https://www.isro.gov.in/
SNT-05,"Space — ISRO missions, launch vehicles, NavIC, private space sector",Wikipedia: IRNSS (NavIC),https://en.wikipedia.org/wiki/Indian_Regional_Navigation_Satellite_System
SNT-06,"Astronomy basics — stars, black holes, telescopes, global missions",Wikipedia: Black hole,https://en.wikipedia.org/wiki/Black_hole
SNT-07,"Defence technology — missiles, aircraft, submarines, DRDO, stealth",Wikipedia: DRDO,https://en.wikipedia.org/wiki/Defence_Research_and_Development_Organisation
SNT-08,"Nuclear science — fission and fusion, reactors, the three-stage programme",Wikipedia: Nuclear power in India,https://en.wikipedia.org/wiki/Nuclear_power_in_India
SNT-08,"Nuclear science — fission and fusion, reactors, the three-stage programme",Wikipedia: Three-stage nuclear programme,https://en.wikipedia.org/wiki/India%27s_three-stage_nuclear_power_programme
SNT-09,"IT and computing — AI/ML, LLMs, quantum, blockchain, cloud, 5G/6G",Wikipedia: Artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence
SNT-09,"IT and computing — AI/ML, LLMs, quantum, blockchain, cloud, 5G/6G",Wikipedia: Quantum computing,https://en.wikipedia.org/wiki/Quantum_computing
SNT-10,"Cybersecurity, data protection and semiconductors",Wikipedia: Semiconductor industry in India,https://en.wikipedia.org/wiki/Semiconductor_industry_in_India
SNT-11,Nanotechnology and new materials,Wikipedia: Nanotechnology,https://en.wikipedia.org/wiki/Nanotechnology
SNT-12,"Energy technology — batteries, EVs, fuel cells, hydrogen, solar",Wikipedia: Electric battery,https://en.wikipedia.org/wiki/Electric_battery
SNT-12,"Energy technology — batteries, EVs, fuel cells, hydrogen, solar",Wikipedia: Hydrogen economy,https://en.wikipedia.org/wiki/Hydrogen_economy
